Actual_Rainfall,Predicted_Rainfall
2819.9,2403.584
2554.9,2488.2944
2222.2000000000007,2508.9414
3013.200000000001,2448.8865
2048.1,2546.254
2375.7,2452.1558
2638.2,2412.312
2462.7000000000007,2440.673
2685.5,2443.4756
2701.7,2484.1753
2447.4,2527.9973
2463.2,2507.1614
2887.3,2485.361
2472.4,2558.1814
2859.4000000000005,2537.5803
2487.4,2598.236
2461.2,2575.8743
2761.8,2536.8455
2451.8,2566.9907
3040.800000000001,2536.2783
2543.3,2625.241
2917.2,2614.6729
2741.7,2667.3179
2971.7,2677.047
2608.4,2731.6755
2526.9,2700.2305
2966.1,2649.0737
2680.8,2695.4746
2427.9999999999995,2686.179
2877.2,2621.9106
3051.8,2647.463
3036.1,2726.6575
3210.4999999999995,2790.9531
2821.9999999999995,2878.5295
2976.3,2864.6182
2422.9,2874.082
2609.4,2767.4944
2810.9,2699.4475
2661.7,2697.536
2904.9999999999995,2679.6382
2865.3,2709.4697
3022.7,2731.8086
2303.9,2782.266
1968.5000000000002,2673.5588
2327.6,2496.7537
1800.0,2413.0999
1901.2,2263.1458
1822.5,2149.507
2970.0,2048.3232
2328.8,2207.0964
2031.0,2253.6494
2478.7,2209.5173
2230.0,2243.557
2109.9999999999995,2242.6492
3610.1,2212.7585
4316.3,2489.329
3080.9,2927.8577
1353.9,3025.0967
2106.1,2688.7075
2329.600000000001,2489.8027
2209.8,2406.1782
2651.3,2343.424
2358.5999999999995,2385.359
2150.6,2382.9744
1749.1999999999994,2331.1113
2304.9,2181.4338
2072.3,2151.2864
2027.5,2119.752
2588.0999999999995,2101.5273
2454.0,2190.3796
2105.3,2255.9385
2342.2,2234.263
2361.2,2241.9814
2820.200000000001,2261.4163
2359.100000000001,2375.9246
2582.2,2393.3755
2851.9000000000005,2428.1033
2221.5,2517.5818
2881.700000000001,2467.4866
1712.4999999999998,2533.2944
2340.1,2367.0586
2194.6,2324.7097
2212.100000000001,2279.818
2225.4000000000005,2249.8677
2232.9,2227.1572
2363.9,2218.5479
2149.2,2237.661
2242.4,2212.368
2162.3,2209.8896
2353.7000000000007,2186.828
1836.6999999999998,2218.0442
1872.2,2138.471
2538.3,2063.348
1748.9,2137.9216
1737.7,2069.2793
2295.2,1983.5403
1892.1999999999998,2020.5256
1923.000000000001,1998.6619
1557.1,1973.9762
1599.9,1880.877
1922.2000000000005,1797.2289
1956.4,1802.2305
2805.3,1832.2104
2113.100000000001,2027.9996
3180.3,2089.5398
2404.3,2327.7388
2169.9,2381.9546
3004.9999999999995,2347.857
2617.9,2472.4084
2530.0,2523.989
1988.2,2533.2861
2670.2000000000007,2416.768
3046.0999999999995,2441.254
3194.1000000000013,2556.8198
2793.7,2707.899
2934.9,2735.0134
2414.300000000001,2774.765
2504.9999999999995,2697.318
3476.8,2626.2979
2841.8,2780.8083
2981.7,2807.604
2544.4,2844.8586
2884.1,2772.7095
3513.3,2766.8838
3001.7,2905.5195
2488.9,2934.19
2950.8,2830.118
2886.5000000000005,2827.638
2637.600000000001,2825.357
2732.2000000000007,2763.4692
2869.0000000000005,2733.74
2931.3,2741.0613
2184.2000000000007,2771.7576
2876.3999999999987,2639.564
2715.6,2645.6648
2514.1,2646.6055
2612.9000000000005,2610.7402
2785.1000000000013,2590.0261
2660.3,2613.6943
2568.3,2617.0825
3249.2000000000016,2595.7466
2591.0000000000005,2715.7915
2320.2,2695.7002
2717.9,2609.1113
2365.3,2600.3196
2917.6000000000013,2537.201
2583.2,2595.7136
2755.4000000000005,2592.1406
2768.4,2613.9487
2534.2,2639.0376
2936.5,2611.2615
3287.5999999999995,2656.6155
2762.6,2787.6243
2683.2,2795.6423
3270.9,2760.4072
2594.0,2852.034
3055.7,2795.0735
2992.8,2829.7878
2885.4,2854.4033
2225.5,2850.947
2820.2,2707.8203
2580.2,2690.3787
2610.4,2644.4705
2304.2,2618.3342
2521.8,2536.9421
2604.8,2501.479
2981.5,2507.3286
2762.7999999999997,2592.5662
2515.4000000000005,2630.4436
2860.5,2601.4941
3378.7999999999997,2644.3025
2424.8,2791.6362
2702.2,2728.2104
3226.9,2701.3252
2414.600000000001,2797.1372
2804.6000000000013,2720.1829
3341.5000000000005,2713.5156
2663.8,2827.9028
2793.9999999999995,2798.8945
2906.4000000000005,2783.3157
